Alloy,No,Component,Fraction,a,delta,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,omega,Phase_inshort
Al16Ru8Ti6,3,Al Ru Ti,16 8 6,1.412933333,0.032989908,1.753333333,0.270669951,4.533333333,2.12498366,1.21E+11,60.97343684,47.06522489,IM
Fe89Zr5B6,3,Fe Zr B,89 5 6,1.23384,0.106093361,1.8176,0.122442803,7.5,1.431782106,1.74E+11,42.72430596,72.32184971,SS
Al5Hf4Ni16,3,Al Hf Ni,5 4 16,1.33632,0.09582442,1.7524,0.229560972,7.64,3.160759402,1.48E+11,43.85430424,45.59114864,IM
AlCrMoTaTiZr,6,Al Cr Mo Ta Ti Zr,1 1 1 1 1 1,1.423166667,0.074763443,1.633333333,0.257272013,4.666666667,1.105541597,1.41E+11,60.37693457,247.7905108,AM
Mg17Sr2,2,Mg Sr,17 2,1.659,0.101927429,1.272105263,0.110481194,2,0,41515151515,10.15999194,209.0906702,IM
CrHfNbTiZr ,5,Cr Hf Nb Ti Zr,1 1 1 1 1,1.4642,0.086265386,1.486,0.144996552,4.6,0.8,1.24E+11,36.41580853,925.8291589,IM+SS
BIn2Ni7,3,B In Ni,1 2 7,1.2662,0.152853149,1.897,0.070007142,7.9,3.207802986,1.65E+11,77.63559895,294.9670727,IM
AuGa2,2,Au Ga,1 2,1.408666667,0.016732295,2.053333333,0.3441253,5.666666667,3.771236166,1.11E+11,77.31034141,24.41136524,IM
Co1.5Cr2Fe1.5NiAlMn2V ,7,Co Cr Fe Ni Al Mn V,1.5 2 1.5 1 1 2 1,1.293,0.048379564,1.7135,0.133201914,6.95,1.961504525,1.50E+11,32.28916227,330.3031444,IM
Cr9Mo21Ni20,3,Cr Mo Ni,9 21 20,1.29568,0.04422124,1.97,0.184119526,7.6,1.959591794,1.97E+11,28.62236887,355.7792274,IM
Al86Y4.5Ni8La1.5,4,Al Y Ni La,86 4.5 8 1.5,1.440475,0.075581826,1.6088,0.133957307,3.56,1.899052395,82025000000,30.30947665,38.38823381,AM
Al0.5CoCrCuFeNiTi0.4,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.4,1.282338983,0.054909985,1.796779661,0.126242176,7.983050847,2.500789878,1.55E+11,30.95770947,504.634759,SS
MnCrFe1.5Ni0.5Al0.3,5,Mn Cr Fe Ni Al,1 1 1.5 0.5 0.3,1.282116279,0.047027487,1.719302326,0.129693652,7.186046512,1.646077988,1.51E+11,29.29789557,473.1479856,SS
Ti50Ni24Cu20BSi2Sn3,6,Ti Ni Cu B Si Sn,50 24 20 1 2 3,1.3655,0.090987912,1.7256,0.186313285,6.83,3.231269101,1.33E+11,36.6696114,82.63219558,AM
B4Fe4Nd,3,B Fe Nd,4 4 1,1.098222222,0.251152365,1.846666667,0.268741925,5.222222222,2.484519975,2.21E+11,97.36985616,64.02798802,IM
Ca6.23Mg3.78Sn7,3,Ca Mg Sn,6.23 3.78 7,1.746164609,0.100146686,1.463950617,0.43053994,2.823045267,0.984218991,40094650206,18.23811672,27.08154179,IM
HfMoNbTiZr,5,Hf Mo Nb Ti Zr,1 1 1 1 1,1.487,0.060972711,1.586,0.309554519,4.6,0.8,1.38E+11,55.79824768,2458.61759,SS
Dy4Sb3,2,Dy Sb,4 3,1.583714286,0.138739051,1.575714286,0.410743477,3.857142857,0.989743319,41428571429,0.494871659,14.04874902,IM
Ni57.5Zr32Nb3Al7.5,4,Ni Zr Nb Al,57.5 32 3 7.5,1.37968,0.118018115,1.6926,0.264609599,7.405,3.034958814,1.37E+11,52.6866945,38.8787751,AM
Mg3Sm1,2,Mg Sm,3 1,1.65325,0.054740453,1.275,0.060621778,2.25,0.433012702,43250000000,3.031088913,128.5295076,IM
Gd56Al24Co20,3,Gd Al Co,56 24 20,1.60244,0.144683106,1.4344,0.27907103,4.2,2.4,75520000000,54.51247197,42.05946742,AM
Ni3Sn,2,Ni Sn,3 1,1.3395,0.120900896,1.9225,0.021650635,8.5,2.598076211,1.50E+11,52.82754963,266.5974689,IM
CaAlZn,3,Ca Al Zn,1 1 1,1.601,0.165893148,1.42,0.297433466,5.666666667,4.496912521,54333333333,26.51205177,55.08770262,IM
Al0.5CrFeNiCoCuTi0.6,7,Al Cr Fe Ni Co Cu Ti,0.5 1 1 1 1 1 0.6,1.288229508,0.059215207,1.788360656,0.132308387,7.852459016,2.559687901,1.53E+11,31.46379567,391.8019831,SS
Cu10Sn3,2,Cu Sn,10 3,1.356923077,0.106191108,1.913846154,0.025279503,9.384615385,2.94927531,1.21E+11,34.54865363,126.1815395,IM
FeCoNiMnV,5,Fe Co Ni Mn V,1 1 1 1 1,1.2808,0.034408139,1.76,0.143387587,7.8,1.720465053,1.62E+11,22.27105745,323.6479051,IM+SS
Al3Zr,2,Al Zr,3 1,1.47475,0.050208627,1.54,0.121243557,3.25,0.433012702,74708333333,2.237232293,20.99559206,IM
Al8V5,2,Al V,8 5,1.387384615,0.040676892,1.617692308,0.009730085,3.769230769,0.973008511,1.08E+11,40.86635745,62.19706137,IM
Ag7Sb,2,Ag Sb,7 1,1.430625,0.026584657,1.945,0.03968627,10.25,1.984313483,92750000000,19.18169701,256.9650543,IM
MgCu,2,Mg Cu,50 50,1.4395,0.112191733,1.605,0.295,6.5,4.5,92500000000,47.5,263.4848827,AM
CaAl2Zn2,3,Ca Al Zn,1 2 2,1.526,0.14784248,1.504,0.252634123,6.4,4.586937976,61800000000,22.56014184,71.98676328,IM
Be3Nb,2,Be Nb,3 1,1.20325,0.108320651,1.5775,0.012990381,2.75,1.299038106,1.40E+11,17.32050808,55.70866836,IM
Cu4Ce,2,Cu Ce,4 1,1.3874,0.15770506,1.744,0.312,9.4,3.2,1.16E+11,47.2,48.41750883,IM
SrCaYbMgZnCu,6,Sr Ca Yb Mg Zn Cu,1 1 1 1 1 1,1.683666667,0.181418082,1.318333333,0.349543353,5.333333333,4.384315479,52482323232,43.57005907,141.9084887,AM
Mg32Al24.5Zn24.5,3,Mg Al Zn,32 24.5 24.5,1.487574074,0.062373018,1.503580247,0.157207959,5.327160494,4.413545713,61938271605,13.88564022,373.2429187,IM
Co5Cr2Mo3,3,Co Cr Mo,5 2 3,1.2842,0.04017462,1.92,0.177763888,7.5,1.5,1.91E+11,26.62705391,489.9357646,IM
Cu60.3Zr37.2Al2.5,3,Cu Zr Al,60.3 37.2 2.5,1.40275,0.111180044,1.68071,0.273636978,8.196,3.459130527,1.13E+11,33.69168196,55.96503753,AM
La55Al25Ni5Cu10Co5,5,La Al Ni Cu Co,55 25 5 10 5,1.6441,0.16166711,1.387,0.331483031,4.45,2.923610781,66400000000,51.6356466,44.76548144,AM
Ca65Mg15Zn20,3,Ca Mg Zn,65 15 20,1.80355,0.134526416,1.1765,0.260312793,4,4,31800000000,21.45600149,62.27232667,AM
AlLa,2,Al La,1 1,1.6555,0.13500453,1.355,0.255,3,0,52000000000,24,19.39416692,IM
TiZrNbMoV0.5,5,Ti Zr Nb Mo V,1 1 1 1 0.5,1.447777778,0.065542048,1.654444444,0.289524941,4.777777778,0.785674201,1.47E+11,57.10178504,1423.8408,SS
AlCrMnTiV,5,Al Cr Mn Ti V,1 1 1 1 1,1.3618,0.056812817,1.598,0.04621688,5,1.414213562,1.25E+11,31.93994364,189.421973,IM
AlNi,2,Al Ni,1 1,1.339,0.069454817,1.76,0.15,6.5,3.5,1.28E+11,52,41.92705518,IM
Cu58.1Zr35.9Al6,3,Cu Zr Al,58.1 35.9 6,1.403915,0.109164109,1.67797,0.269049771,8.007,3.531706528,1.11E+11,33.7817893,59.29207199,AM
CrMnFe1.5Ni0.5Al1.2,5,Cr Mn Fe Ni Al,1 1 1.5 0.5 1.2,1.308057692,0.060300355,1.700384615,0.124976329,6.461538462,2.179110073,1.38E+11,38.82510854,222.7236113,SS
Ni57Zr20Ti18Pd5,4,Ni Zr Ti Pd,57 20 18 5,1.36273,0.106578606,1.7419,0.260517543,7.72,2.912318664,1.46E+11,45.60501922,47.73841104,AM
CoCuFeNiV,5,Co Cu Fe Ni V,1 1 1 1 1,1.2664,0.022034208,1.83,0.10373042,8.6,2.059126028,1.66E+11,14.96662955,1271.4229,SS
Ti53Cu27Ni12Zr3Al7Si3B,7,Ti Cu Ni Zr Al Si B,53 27 12 3 7 3 1,1.377886792,0.086004211,1.687169811,0.185603324,6.386792453,3.306856099,1.24E+11,33.60189122,93.70497977,AM
AlCoCrCu0.5Ni,5,Al Co Cr Cu Ni,1 1 1 0.5 1,1.292666667,0.058053397,1.78,0.13114877,7.444444444,2.871743996,1.48E+11,40.57366415,251.7285262,SS
AlNi2Ti,3,Al Ni Ti,1 2 1,1.3465,0.075052471,1.7425,0.169318487,6.75,3.269174208,1.37E+11,45.13036672,45.70778576,IM
Ag5Cd8,2,Ag Cd,5 8,1.520692308,0.039350514,1.782307692,0.116761021,11.61538462,0.486504255,64307692308,28.21724681,295.8054121,IM
B4InNi15,3,B In Ni,4 1 15,1.1765,0.162153915,1.9295,0.062006048,8.25,3.031088913,2.01E+11,67.59068148,91.81672927,IM
FeCoNiCrCuAl3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 3.0,1.320125,0.066100026,1.75125,0.131475996,6.625,3.119995994,1.32E+11,45.14905868,229.7975663,SS
Zr41.2Ti13.8Cu12.5Ni10Be22.5,5,Zr Ti Cu Ni Be,41.2 13.8 12.5 10 22.5,1.400342,0.139912901,1.54223,0.219674138,5.025,3.094248697,1.09E+11,36.38314537,76.47996985,AM
CoCrCu0.5FeNi,5,Co Cr Cu Fe Ni,1 1 0.5 1 1,1.250222222,0.008353125,1.828888889,0.094568546,8.555555556,1.640535896,1.69E+11,12.862041,5809.963387,SS
NiCoFeCrAl0.3,5,Ni Co Fe Cr Al,1 1 1 1 0.3,1.259674419,0.037575522,1.805348837,0.107516334,7.88372093,1.955425396,1.66E+11,25.85184732,383.3379418,SS
Nd60Al10Ni10Cu18Fe2,5,Nd Al Ni Cu Fe,60 10 10 18 2,1.50666,0.112719829,1.4146,0.345636861,5.24,3.449985507,73400000000,56.1287805,57.92898647,AM
CrCuFeMoNi,5,Cr Cu Fe Mo Ni,1 1 1 1 1,1.2754,0.035802288,1.892,0.161170717,8.2,2.039607805,1.76E+11,30.06659276,691.8342296,SS
Mg75Ni15Nd10,3,Mg Ni Nd,75 15 10,1.55165,0.0830859,1.383,0.227070474,3.3,2.83019434,63950000000,48.9034508,146.2326122,AM
Ag3Sn,2,Ag Sn,3 1,1.48875,0.050899898,1.9375,0.012990381,9.25,3.031088913,89500000000,18.18653348,263.0397619,IM
Al0.5CoCrCuFeNiTi0.8 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.8,1.293746032,0.062616077,1.78047619,0.137280024,7.73015873,2.60771961,1.52E+11,31.86975889,328.2187541,IM+SS
Cu0.5NiCoCrAl0.5Fe3,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3,1.260571429,0.038435999,1.813571429,0.094537003,8,1.927248223,1.63E+11,26.13622086,971.4370716,SS
AlCrTiVZr,5,Al Cr Ti V Zr,1 1 1 1 1,1.4124,0.086809189,1.554,0.118760263,4.4,1.019803903,1.15E+11,38.84848059,148.3577016,IM
CuCoNiCrAl2.5Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 2.5 1,1.312666667,0.064784844,1.760666667,0.130459019,6.866666667,3.073904502,1.36E+11,44.15125517,260.5806465,SS
Ti2CrCuFeCoNi,6,Ti Cr Cu Fe Co Ni,2 1 1 1 1 1,1.312714286,0.07240603,1.751428571,0.154774358,7.428571429,2.610809555,1.50E+11,28.28427125,226.3270447,IM
AlCoCrCuFe0.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 1 0.5 1,1.286636364,0.054035009,1.795454545,0.123976804,7.818181818,2.790183501,1.49E+11,37.35113704,513.4933548,SS
AuCu,2,Au Cu,1 1,1.36,0.060294118,2.22,0.32,11,0,1.80E+11,40,103.7833871,IM
Fe91Hf7B2,3,Fe Hf B,91 7 2,1.25617,0.084490513,1.7971,0.139508387,7.62,1.214742771,1.69E+11,26.468094,86.03896718,SS
AlSb,2,Al Sb,1 1,1.381,0.036929761,1.83,0.22,4,1,59000000000,17,318.3711646,IM
Ni57.5Zr26Nb9Al7.5,4,Ni Zr Nb Al,57.5 26 9 7.5,1.36924,0.112094334,1.7088,0.249763008,7.465,2.976369433,1.43E+11,50.43352335,46.96460775,AM
BCr2,2,B Cr,1 2,1.106,0.182850397,1.786666667,0.179133718,5,1.414213562,2.13E+11,75.42472333,51.65004482,IM
Cu43Zr43Al7Ag7,4,Cu Zr Al Ag,43 43 7 7,1.44022,0.104648958,1.6367,0.276279044,7.43,3.57842144,1.03E+11,32.94310461,73.46145579,AM
CrCuFeNiZr,5,Cr Cu Fe Ni Zr,1 1 1 1 1,1.3234,0.106086283,1.726,0.217310837,7.8,2.561249695,1.44E+11,38.98005188,205.7570251,SS
AlCo3.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 3.5 1 0.5 1 1,1.2731875,0.047546288,1.8175,0.108195425,8,2.263846285,1.61E+11,33.82214511,378.4648958,SS
AuSn4,2,Au Sn,1 4,1.5844,0.044938147,2.076,0.232,5.4,2.8,90400000000,64.8,52.50550622,IM
Co1.5Cr0.5FeMn0.5Ni,5,Co Cr Fe Mn Ni,1.5 0.5 1 0.5 1,1.258444444,0.025893325,1.814444444,0.11805,8.444444444,1.257078722,1.69E+11,18.52592445,776.1118452,SS
Ni60Nb20Hf10Ti10,4,Ni Nb Hf Ti,60 20 10 10,1.3374,0.088571907,1.75,0.21099763,7.8,2.712931993,1.64E+11,27.27636339,68.27470059,AM
Ce60Al10Ni10Cu20,4,Ce Al Ni Cu,60 10 10 20,1.6184,0.15889284,1.404,0.356992997,5.3,3.522782991,66800000000,59.71398496,48.38967355,AM
AlCu2Mn,3,Al Cu Mn,1 2 1,1.3345,0.047586315,1.74,0.161400124,8,3.31662479,1.19E+11,26.13426869,413.3297955,IM
AlCoCrCuNi,5,Al Co Cr Cu Ni,1 1 1 1 1,1.2912,0.055242051,1.792,0.129522199,7.8,2.925747768,1.47E+11,38.56630654,390.938357,SS
Zr39.88Ti15.12Ni9.98Cu13.77Be21.25,5,Zr Ti Ni Cu Be,39.88 15.12 9.98 13.77 21.25,1.4003622,0.137644169,1.549125,0.221818855,5.1377,3.145749308,1.10E+11,36.18917569,79.40615713,AM
Cu55Zr40Al5,3,Cu Zr Al,55 40 5,1.4157,0.110505978,1.6575,0.274515482,7.8,3.544009029,1.09E+11,34.14176328,58.22844503,AM
FeCoNi,3,Fe Co Ni,1 1 1,1.246,0.003276471,1.873333333,0.032998316,9,0.816496581,1.77E+11,4.714045208,1457.583855,SS
Cd3Cu4,2,Cd Cu,3 4,1.402285714,0.10234204,1.81,0.103923048,11.42857143,0.494871659,98000000000,48.49742261,119.7369813,IM
Al85.8Ni9.1Y5.1,3,Al Ni Y,85.8 9.1 5.1,1.433944,0.070176939,1.61741,0.126064237,3.637,2.013263768,83679000000,31.42871233,37.33377909,AM
B6CaNi11,3,B Ca Ni,6 1 11,1.144555556,0.246821208,1.902777778,0.227127119,7.222222222,3.48895966,2.18E+11,81.20833215,71.07076151,IM
HfB2,2,Hf B,1 2,1.072666667,0.333118049,1.793333333,0.348839345,3.333333333,0.471404521,2.50E+11,98.99494937,26.04644908,IM
CoCrMnNi,4,Co Cr Mn Ni,1 1 1 1,1.274,0.034469929,1.75,0.150499169,8,1.58113883,1.60E+11,24.49489743,453.3812694,SS
Al18Cr2Mg3,3,Al Cr Mg,18 2 3,1.438130435,0.056489644,1.575217391,0.103666252,3.130434783,0.946588742,79260869565,26.98665917,284.5100506,IM
Fe2Si,2,Fe Si,2 1,1.211666667,0.034236807,1.853333333,0.032998316,6.666666667,1.885618083,1.47E+11,32.99831646,36.20628984,IM
BNi3,2,B Ni,1 3,1.1395,0.16188101,1.9425,0.056291651,8.25,3.031088913,2.15E+11,60.62177826,58.82650434,IM
SmFe6Ti6N,4,Sm Fe Ti N,1 6 6 1,1.341285714,0.168733208,1.745,0.405599204,5.714285714,2.015247997,1.23E+11,51.1446528,38.61454532,IM
AlCoCrFeNb0.25Ni,6,Al Co Cr Fe Nb Ni,1 1 1 1 0.25 1,1.290714286,0.060986832,1.76952381,0.123615232,7.095238095,2.467015971,1.54E+11,38.52519275,204.0787442,IM+SS
AlCo2CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 2 1 0.5 1 1,1.278307692,0.051715835,1.803076923,0.115317929,7.769230769,2.454316328,1.56E+11,36.09258312,373.2129232,SS
Al2Li3Si2,3,Al Li Si,2 3 2,1.389571429,0.110750648,1.422857143,0.398881088,2.428571429,1.293626448,55000000000,39.16995933,155.826942,IM
Al17Sb3,2,Al Sb,17 3,1.4167,0.025708537,1.676,0.157111425,3.3,0.714142843,70900000000,12.14042833,385.0036446,IM
Si2V,2,Si V,2 1,1.207333333,0.063643515,1.81,0.127279221,4.333333333,0.471404521,1.20E+11,28.28427125,27.63366586,IM
BCo2,2,B Co ,1 2,1.107333333,0.183481651,1.933333333,0.075424723,7,2.828427125,2.27E+11,65.99663291,58.51952132,IM
Zr70Pd30,2,Zr Pd,70 30,1.5346,0.068084664,1.591,0.398684085,5.8,2.749545417,1.04E+11,50.02645134,16.28663802,AM
B2Mo2Ni,3,B Mo Ni,2 2 1,1.1224,0.223251437,2.062,0.093037627,5.6,2.576819745,2.56E+11,55.35341001,81.35672205,IM
TiCrFeMnCoNi,6,Ti Cr Fe Mn Co Ni,1 1 1 1 1 1,1.299833333,0.062927534,1.728333333,0.151813116,7.333333333,1.972026594,1.53E+11,28.08716591,243.1536064,IM+SS
Pd95Si5,2,Pd Si,95 5,1.3639,0.035474579,2.185,0.065383484,9.7,1.307669683,1.76E+11,17.43559577,34.59289581,AM
Cu2GeLi,3,Cu Ge Li,2 1 1,1.32875,0.083485233,1.6975,0.416675833,6.75,4.380353867,72750000000,67.36235967,67.47602965,IM
CoCrFeNiAlNb0.75,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.75,1.30273913,0.065024412,1.754782609,0.127411335,6.913043478,2.430119759,1.55E+11,37.08713492,180.7021427,IM+SS
Ce68Al10Fe2Cu20,4,Ce Al Fe Cu,68 10 2 20,1.66462,0.142649688,1.3392,0.32821237,4.7,3.226453161,53960000000,49.93033547,46.76692109,AM
TiZrNbMo,4,Ti Zr Nb Mo,1 1 1 1,1.46425,0.059880115,1.6575,0.306950729,4.75,0.829156198,1.45E+11,60.36456086,1346.784972,SS
CaCu5,2,Ca Cu,1 5,1.394333333,0.186561732,1.75,0.335410197,9.5,3.354101966,1.20E+11,45.83939354,82.18080487,IM
Mg65Cu15Ag10Y10,4,Mg Cu Ag Y,65 15 10 10,1.55705,0.091260148,1.4515,0.267287766,4.35,3.850649296,64350000000,35.82495639,147.5666676,AM
CuDy,2,Cu Dy,1 1,1.526,0.162516383,1.56,0.34,7,4,90500000000,49.5,47.93380563,IM
Cu5Ce,2,Cu Ce,5 1,1.369166667,0.148889736,1.77,0.290688837,9.666666667,2.98142397,1.20E+11,43.97600356,50.59062168,IM
B6Ni21Ta2,3,B Ni Ta,6 21 2,1.170551724,0.157962479,1.90862069,0.122832214,8.206896552,2.940552497,2.10E+11,56.23121962,62.83725061,IM
Au9Sn,2,Au Sn,9 1,1.4598,0.036580353,2.482,0.174,10.3,2.1,2.04E+11,48.6,113.2467172,IM
Al3Ru2,2,Al Ru,3 2,1.3944,0.033025249,1.846,0.28903979,5,2.449489743,1.34E+11,70.54530459,53.50983566,IM
CoFeNiVMo0.6,5,Co Fe Ni V Mo,1 1 1 1 0.6,1.276478261,0.034440309,1.857826087,0.155114446,7.739130435,1.87007071,1.80E+11,20.85144141,335.3406131,IM+SS
B2CoMo2,3,B Co Mo,2 1 2,1.1234,0.223498447,2.056,0.10307279,5.4,2.244994432,2.56E+11,55.35341001,83.30606688,IM
HfNbTaTiZr,5,Hf Nb Ta Ti Zr,1 1 1 1 1,1.5004,0.049944175,1.454,0.118253964,4.4,0.489897949,1.32E+11,46.42676431,1492.872004,SS
Au46Ag5Cu29Si20,4,Au Ag Cu Si,46 5 29 20,1.33679,0.086708413,2.1959,0.317654199,9.6,2.8,1.67E+11,51.24217013,77.84428025,AM
AlRe2,2,Al Re,1 2,1.394,0.019275508,1.803333333,0.136707311,5.666666667,1.885618083,2.72E+11,138.5929291,208.2321623,IM
Al3V,2,Al V,3 1,1.403,0.035801478,1.615,0.008660254,3.5,0.866025404,97000000000,36.37306696,58.38222052,IM
AgZr,2,Ag Zr,1 1,1.524,0.05183727,1.63,0.3,7.5,3.5,85416666667,14.58333333,58.27513624,IM
B6Ni21Sn2,3,B Ni Sn,6 21 2,1.183655172,0.175813149,1.940344828,0.052422867,8.137931034,3.025456796,2.01E+11,68.25893207,93.15363159,IM
Fe81Si2B13Nb3Cu1,5,Fe Si B Nb Cu,81 2 13 3 1,1.19052,0.123797851,1.8525,0.083431109,7.21,1.818213409,1.88E+11,52.1071972,81.71731692,SS
Ce60Al15Ni15Cu10,4,Ce Al Ni Cu,60 15 15 10,1.6245,0.154721258,1.39,0.34288482,4.85,3.213642793,65600000000,60.60891024,42.55859989,AM
MoNbTiVZr,5,Mo Nb Ti V Zr,1 1 1 1 1,1.4346,0.068534137,1.652,0.274765354,4.8,0.748331477,1.48E+11,54.31492531,1408.021491,SS
La55Al25Ni15Cu5,4,La Al Ni Cu,55 25 15 5,1.64225,0.163464401,1.389,0.334542972,4.45,2.906458326,68400000000,55.10571658,38.19277456,AM
BNi2,2,B Ni,1 2,1.104,0.181900657,1.953333333,0.061282588,7.666666667,3.299831646,2.27E+11,65.99663291,57.72387863,IM
Cu2In3Sn1,3,Cu In Sn,2 3 1,1.476,0.095938404,1.85,0.072801099,5.833333333,3.670452591,72998333333,48.17351742,92.45881931,IM
B6Ni21Zr2,3,B Ni Zr,6 21 2,1.182482759,0.173934264,1.896896552,0.162864518,8.137931034,3.025456796,2.01E+11,66.46445502,49.66907935,IM
Ti40Zr25Ni3Cu12Be20,5,Ti Zr Ni Cu Be,40 25 3 12 20,1.40189,0.121747782,1.5478,0.17550829,4.62,2.71580559,1.10E+11,26.8048231,98.9064214,AM
HfW2,2,Hf W,1 2,1.437333333,0.069202009,2.006666667,0.499688792,5.333333333,0.942809042,2.43E+11,94.28090416,393.684013,IM
Cu54Zr42.5Al3.5,3,Cu Zr Al,54 42.5 3.5,1.421515,0.111504929,1.6476,0.278065172,7.745,3.531285177,1.08E+11,34.28915069,57.08896968,AM
CoFeNi1.4VMo,5,Co Fe Ni V Mo,1 1 1.4 1 1,1.28062963,0.037059927,1.884074074,0.163622403,7.777777778,1.892154041,1.84E+11,23.27741683,357.9980744,IM+SS
AlCoCr1.5Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 1.5 0.5 1 1,1.280416667,0.053413543,1.778333333,0.120473602,7.416666667,2.531742922,1.53E+11,36.13247231,392.9244825,SS
Al6CoMn,3,Al Co Mn,6 1 1,1.399125,0.044375959,1.63625,0.094198925,4.25,2.222048604,94500000000,35.38007914,56.1208188,IM
Cu52.5Zr42.5Al5,3,Cu Zr Al,52.5 42.5 5,1.423825,0.110629219,1.64325,0.276345685,7.625,3.554486601,1.07E+11,34.28590753,58.14748001,AM
Ti40Zr25Ni8Cu9Be18,5,Ti Zr Ni Cu Be,40 25 8 9 18,1.40329,0.120055375,1.5549,0.183251166,4.75,2.72901081,1.12E+11,30.39838606,94.27962523,AM
AlB12,2,Al B,1 12,0.867076923,0.188079328,2.006923077,0.114581823,3,0,3.01E+11,65.01852262,0,IM
Ni60Nb20Hf15Ti5,4,Ni Nb Hf Ti,60 20 15 5,1.3432,0.094513272,1.738,0.228683187,7.8,2.712931993,1.64E+11,27.27636339,66.01247605,AM
CrCuFeMnNi,5,Cr Cu Fe Mn Ni,1 1 1 1 1,1.2728,0.03197742,1.77,0.141844986,8.4,1.854723699,1.54E+11,21.54065923,1017.232215,SS
Cu3Ge,2,Cu Ge,3 1,1.2685,0.012971606,1.9275,0.047631397,9.25,3.031088913,1.05E+11,60.62177826,86.13849751,IM
Ni57Zr20Ti13Pd10,4,Ni Zr Ti Pd,57 20 13 10,1.35838,0.105634554,1.7749,0.274289974,8.02,2.821276307,1.49E+11,45.42687653,48.41162858,AM
Mg65Cu15Ag5Pd5Gd10,5,Mg Cu Ag Pd Gd,65 15 5 5 10,1.55345,0.093637487,1.463,0.298062074,4.3,3.769615365,68050000000,43.47237629,92.19520653,AM
Cu4In,2,Cu In,4 1,1.3344,0.084532374,1.876,0.048,9.4,3.2,1.19E+11,42.668,91.64917308,IM
Al0.5CoCrCu0.5FeNi2 ,6,Al Co Cr Cu Fe Ni,0.5 1 1 0.5 1 2,1.264666667,0.04054888,1.824166667,0.108509472,8.333333333,2.211083194,1.63E+11,28.7923601,557.2245958,IM+SS
AlCrCu0.5FeNi,5,Al Cr Cu Fe Ni,1 1 0.5 1 1,1.290444444,0.05918952,1.768888889,0.124136524,7.222222222,2.779999112,1.46E+11,39.00364022,334.3719106,SS
Al8Li5Mg2,3,Al Li Mg,8 5 2,1.483533333,0.0408656,1.36,0.286006993,2.2,0.909212113,50200000000,29.50977239,219.45478,IM
Sr46Al14Co20Y21,4,Sr Al Co Y,46 14 20 20,1.801,0.204941992,1.2824,0.37155651,3.74,2.666908322,60311212121,63.65902888,367.8058319,AM
Al0.5CrCuFeNi2,5,Al Cr Cu Fe Ni,0.5 1 1 1 2,1.268363636,0.041996254,1.820909091,0.113093248,8.454545455,2.425757103,1.58E+11,29.54755237,1016.98574,SS
CoFeSiB,4,Co Fe Si B,1 1 1 1,1.11625,0.156988976,1.9125,0.077902182,6,2.549509757,1.93E+11,79.8044485,76.48728453,AM
Al0.5CoCrCuFeNiTi1.6 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.6,1.312704225,0.070864333,1.753380282,0.150013555,7.309859155,2.724906249,1.47E+11,32.79446734,221.8012891,IM+SS
AlCrMoSiTi,5,Al Cr Mo Si Ti,1 1 1 1 1,1.3318,0.08678293,1.774,0.227824494,4.6,1.2,1.35E+11,54.73719028,91.02646475,IM
Al13Co4,2,Al Co,13 4,1.389411765,0.055258661,1.673529412,0.114529276,4.411764706,2.545095018,1.00E+11,44.11498031,45.07793903,IM
MoNbTaVW,5,Mo Nb Ta V W,1 1 1 1 1,1.381,0.031480181,1.85,0.343394817,5.4,0.489897949,2.14E+11,53.88877434,1027.681605,SS
Pt5Al3,2,Pt Al,5 3,1.403875,0.015518142,2.02875,0.324362355,7.375,3.388860428,1.72E+11,74.55492941,26.0764372,IM
FeNi2CrCuAl,5,Fe Ni Cr Cu Al,1 2 1 1 1,1.282,0.053170061,1.803333333,0.122972445,8,2.768874621,1.51E+11,36.21693895,438.4203615,SS
Cu2Ti,2,Cu Ti,2 1,1.339333333,0.064762393,1.78,0.169705627,8.666666667,3.299831646,1.30E+11,14.14213562,123.4980702,IM
Cu4Ti3,2,Cu Ti,4 3,1.356857143,0.067108307,1.745714286,0.178153797,8,3.464101615,1.27E+11,14.84614978,124.5336044,IM
Cu3Ti2,2,Cu Ti,3 2,1.3516,0.066692233,1.756,0.176363261,8.2,3.42928564,1.28E+11,14.69693846,123.9355658,IM
W6Fe7,2,W Fe,6 7,1.299153846,0.048349418,2.074615385,0.264214813,7.076923077,0.997037031,2.35E+11,69.79259214,0,IM
Al31Cu16Ni14,3,Al Cu Ni,31 16 14,1.348918033,0.063157393,1.754918033,0.147355074,6.704918033,3.782376139,1.17E+11,43.63292682,128.8780572,IM
